image_path,label,label_name,source,source_file,source_path,source_label,source_label_name,width,height,md5
images/cloudy/weathernet05_000482.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (1391).jpg,0,cloudy or overcast,200,200,a4691f003cb2cdbc063bc57f80c6882d
images/sunny/weathernet05_012889.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s1522.jpg,4,sun or clear,200,200,1176978bfc8bcb9d2615f821660213f1
images/sunny/weathernet05_014788.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s3580.jpg,4,sun or clear,200,200,966d27543790056471492c82b524a188
images/rainy/weathernet05_007391.jpg,2,rainy,weathernet05,weathernet05_0000.parquet,2363310703.jpg,2,rain or storm,500,375,19fb045243620be19954f6d400f90be8
images/snowy/weathernet05_009508.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,309067720.jpg,3,snow or frosty,500,440,2c2fc9a4cb7f9fbdab3758dc59a822b3
images/sunny/weathernet05_012244.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s091.jpg,4,sun or clear,200,200,3c9ed73cf7e46cc88f20b1395c12f12d
images/snowy/weathernet05_008700.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,1090.jpg,3,snow or frosty,400,287,67077cdae0ff92d9a0f3c21cf5322d31
images/sunny/weathernet05_015581.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s4420.jpg,4,sun or clear,200,200,36130a1c79b6d40a591410711714229f
images/sunny/weathernet05_013868.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s2581.jpg,4,sun or clear,200,200,b8eb9328c55f7fa229d7705d8142fd0c
images/sunny/weathernet05_015121.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s3930.jpg,4,sun or clear,200,200,53e05ac4e5f51dff44512f96bcf0efff
images/rainy/weathernet05_007059.jpg,2,rainy,weathernet05,weathernet05_0000.parquet,1753.jpg,2,rain or storm,400,260,ad984e9561b65dd506b9ada23097fdb8
images/sunny/weathernet05_013739.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s2441.jpg,4,sun or clear,200,200,3e573ed8d67028d0ef2e5c043397336f
images/snowy/weathernet05_009947.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,4729005.jpg,3,snow or frosty,375,500,da5dafa9d3a6ed06025f8507cc81c439
images/sunny/weathernet05_014877.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s3677.jpg,4,sun or clear,200,200,5216de6a0daa11bab7457501bd2ce8d2
images/sunny/weathernet05_012793.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s1432.jpg,4,sun or clear,200,200,6b223c8ac882124abb7f43df1d2f91f2
images/snowy/weathernet05_008853.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,1235.jpg,3,snow or frosty,586,373,39d57f97ddd7e9e1a25df1b507ea10c7
images/sunny/weathernet05_011653.jpg,0,sunny,weathernet05,weathernet05_0000.parquet,s0354.jpg,4,sun or clear,200,200,7437875b1db408a1dbc215374a1000bc
images/sunny/weathernet05_011200.jpg,0,sunny,weathernet05,weathernet05_0000.parquet,8909408.jpg,4,sun or clear,500,375,bb11a9cd256112abb4344f3b1a1f9b6b
images/cloudy/weathernet05_004476.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (4931).jpg,0,cloudy or overcast,200,200,4a9cfe2aaf328f5371617755097aabf3
images/cloudy/weathernet05_001528.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (2258).jpg,0,cloudy or overcast,200,200,787f939b38de848495ef5114a4e35578
images/cloudy/weathernet05_001333.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (2092).jpg,0,cloudy or overcast,200,200,af1047d5c8379e75f11ad5ed19773e3f
images/snowy/weathernet05_009354.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,2277876562.jpg,3,snow or frosty,500,332,650ad4c0dc09af422b119d575e3734ad
images/cloudy/weathernet05_001623.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (234).jpg,0,cloudy or overcast,500,375,78bb5f6506d19cd61f6918be1bf5de70
images/sunny/weathernet05_012698.jpg,0,sunny,weathernet05,weathernet05_0001.parquet,s1342.jpg,4,sun or clear,200,200,0eef37cc0331f026d351cf375986360f
images/snowy/weathernet05_009916.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,3995867.jpg,3,snow or frosty,500,375,10a43f81b9f85933137abb7617dfd2ee
images/cloudy/weathernet05_006441.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (937).jpg,0,cloudy or overcast,500,375,72d28a5e49430f03043e4225495f5243
images/sunny/weathernet05_011282.jpg,0,sunny,weathernet05,weathernet05_0000.parquet,s001.jpg,4,sun or clear,200,200,aabf9261391dde1931714f57d56f3371
images/cloudy/weathernet05_000538.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (1437).jpg,0,cloudy or overcast,200,200,ddc5adf9e9ad6d6a6b28d4c9e76524a0
images/snowy/weathernet05_009822.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,332063870.jpg,3,snow or frosty,500,335,ae9ad3cefd82ccd75f1e6753ec8cf9fd
images/cloudy/weathernet05_002341.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (295).jpeg,0,cloudy or overcast,474,316,d976a1beeb11b038caeb49bc8d9e577d
images/cloudy/weathernet05_000868.jpg,1,cloudy,weathernet05,weathernet05_0000.parquet,1 (171).jpeg,0,cloudy or overcast,474,314,ba139102ca63dc924e0ec84e17efd58d
images/snowy/weathernet05_008843.jpg,3,snowy,weathernet05,weathernet05_0000.parquet,1226.jpg,3,snow or frosty,452,240,883303d5a08ef7b07db6d849f5ed915f
