image_path,label,label_name,source,source_class,width,height,md5
data/data/cloudy/c3786.jpg,1,cloudy,class_directory,cloudy,200,200,ad2dd904b1032c4233658270f3dba331
data/data/sunny/s4757.jpg,0,sunny,class_directory,sunny,200,200,18031cb6ab5bfd02592f63e9fde16406
data/data/cloudy/18850889.jpg,1,cloudy,class_directory,cloudy,500,375,2e3f59db56f85b2148a21d8224a4584d
data/data/sunny/s0472.jpg,0,sunny,class_directory,sunny,200,200,266250e79fbf12986e5aacdd07a02d81
data/data/sunny/s0789.jpg,0,sunny,class_directory,sunny,200,200,ea525d98885ae92bf2661ef02cabacc5
data/data/cloudy/c3196.jpg,1,cloudy,class_directory,cloudy,200,200,5b9de2cd6a7f1d6cc8bd7a99c7acc1af
data/data/sunny/s1375.jpg,0,sunny,class_directory,sunny,200,200,083b42222fa1e1c55ded1220d75f044c
data/data/snowy/1111.jpg,3,snowy,class_directory,snowy,400,300,a1ba5bb847a32554d4a5fdc0d6286ea1
data/data/sunny/25870303.jpg,0,sunny,class_directory,sunny,500,375,2ba03b4288ece965edadee7650d5d683
data/data/sunny/s4449.jpg,0,sunny,class_directory,sunny,200,200,1879c14d2fbcad9a0d41496a202d77fb
data/data/snowy/0962.jpg,3,snowy,class_directory,snowy,400,262,7c46bc51964a2a8936b7876e6ca5a449
data/data/cloudy/c4924.jpg,1,cloudy,class_directory,cloudy,200,200,c6bf7938531dbdba77e440091b72c2cb
data/data/cloudy/c1702.jpg,1,cloudy,class_directory,cloudy,200,200,bebed8b293cd4bb3d9a7fd0a1c700301
data/data/cloudy/c1552.jpg,1,cloudy,class_directory,cloudy,200,200,03254ea085b24fb9a7e2300cc3284b52
data/data/sunny/s1466.jpg,0,sunny,class_directory,sunny,200,200,1bf9888288924768d703fa6d8934cde4
data/data/rainy/1642.jpg,2,rainy,class_directory,rainy,400,264,76ac59c1af0badbc7df3d274cb6d5654
data/data/cloudy/c0239.jpg,1,cloudy,class_directory,cloudy,200,200,3cac845e0816c90c89767c2a63c6baf9
data/data/cloudy/cloudy169.jpg,1,cloudy,class_directory,cloudy,206,155,4597a9413c0a8f543465a70f5b196264
data/data/cloudy/cloudy256.jpg,1,cloudy,class_directory,cloudy,263,168,8c0a4fb4fd23b2e5e42c34e29c84db80
data/data/snowy/2874562085.jpg,3,snowy,class_directory,snowy,500,333,774fcb58e99ae524445f5cacc2dc1150
data/data/sunny/s0285.jpg,0,sunny,class_directory,sunny,200,200,44d7aa44eb1e06f351c9c89bac220ee8
data/data/rainy/rainy day-133.jpeg,2,rainy,class_directory,rainy,474,271,ec217e9755036c80c381c44b33ccf2c1
data/data/sunny/3823902.jpg,0,sunny,class_directory,sunny,500,329,76cef44f57edd367f55adbc37f21440d
data/data/cloudy/cloudy188.jpg,1,cloudy,class_directory,cloudy,241,161,71bea15326c1dedeee936615931507ef
